Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","100uF","C_1206_3216Metric",283.210000,-210.820000,180.000000,top
"C2","0.1uF","C_0603_1608Metric",285.342500,-46.990000,0.000000,top
"C3","0.1uF","C_0603_1608Metric",235.595000,-167.905000,0.000000,top
"C4","0.1uF","C_0603_1608Metric",235.595000,-159.015000,0.000000,top
"C5","0.1uF","C_0603_1608Metric",236.002500,-150.125000,0.000000,top
"C6","0.1uF","C_0603_1608Metric",236.002500,-114.565000,0.000000,top
"C7","0.1uF","C_0603_1608Metric",235.595000,-176.795000,0.000000,top
"C8","0.1uF","C_0603_1608Metric",236.002500,-123.455000,0.000000,top
"C9","0.1uF","C_0603_1608Metric",236.002500,-132.345000,0.000000,top
"C10","0.1uF","C_0603_1608Metric",236.002500,-141.235000,0.000000,top
"C12","0.1uF","C_0603_1608Metric",261.945500,-183.302000,0.000000,top
"C13","0.1uF","C_0603_1608Metric",286.072500,-168.910000,0.000000,top
"C14","0.1uF","C_0603_1608Metric",237.490000,-191.770000,0.000000,top
"C15","0.1uF","C_0603_1608Metric",246.380000,-208.280000,0.000000,top
"C16","1uF","C_0603_1608Metric",247.242500,-188.087000,0.000000,top
"D1","Power OK","LED_0805_2012Metric",294.587500,-210.820000,0.000000,top
"D2","Halt","LED_0805_2012Metric",263.196000,-221.032500,90.000000,top
"D3","Wait","LED_0805_2012Metric",273.610000,-221.032500,90.000000,top
"R1","1K","R_0603_1608Metric",246.430000,-204.470000,0.000000,top
"R2","10K","R_0603_1608Metric",247.292500,-194.310000,0.000000,top
"R3","270R","R_0603_1608Metric",290.335000,-210.820000,180.000000,top
"R4","1K","R_0603_1608Metric",247.292500,-191.135000,0.000000,top
"R5","270R","R_0603_1608Metric",263.450000,-225.285000,-90.000000,top
"R6","270R","R_0603_1608Metric",273.610000,-225.285000,-90.000000,top
"R7","10K","R_0603_1608Metric",277.114000,-68.580000,0.000000,top
"R8","10K","R_0603_1608Metric",277.114000,-124.460000,0.000000,top
"R9","10K","R_0603_1608Metric",266.954000,-68.580000,180.000000,top
"R10","10K","R_0603_1608Metric",266.954000,-124.460000,0.000000,top
"R11","10K","R_0603_1608Metric",277.114000,-71.120000,0.000000,top
"R12","10K","R_0603_1608Metric",266.954000,-121.920000,0.000000,top
"R13","10K","R_0603_1608Metric",266.954000,-71.120000,0.000000,top
"R14","10K","R_0603_1608Metric",277.114000,-121.920000,0.000000,top
"R15","10K","R_0603_1608Metric",277.114000,-129.540000,0.000000,top
"R16","10K","R_0603_1608Metric",266.954000,-76.200000,0.000000,top
"R17","10K","R_0603_1608Metric",277.114000,-116.840000,0.000000,top
"R18","10K","R_0603_1608Metric",266.954000,-63.500000,0.000000,top
"R19","10K","R_0603_1608Metric",277.114000,-76.200000,0.000000,top
"R20","10K","R_0603_1608Metric",266.954000,-116.840000,0.000000,top
"R21","10K","R_0603_1608Metric",277.114000,-63.500000,0.000000,top
"R22","10K","R_0603_1608Metric",277.114000,-78.740000,0.000000,top
"R23","10K","R_0603_1608Metric",277.114000,-114.300000,0.000000,top
"R24","10K","R_0603_1608Metric",266.954000,-78.740000,0.000000,top
"R25","10K","R_0603_1608Metric",266.954000,-114.300000,0.000000,top
"R26","10K","R_0603_1608Metric",266.954000,-83.820000,0.000000,top
"R27","10K","R_0603_1608Metric",277.114000,-109.220000,0.000000,top
"R28","10K","R_0603_1608Metric",277.114000,-83.820000,0.000000,top
"R29","10K","R_0603_1608Metric",266.954000,-109.220000,0.000000,top
"R30","10K","R_0603_1608Metric",277.114000,-137.160000,0.000000,top
"R31","10K","R_0603_1608Metric",266.954000,-86.360000,0.000000,top
"R32","10K","R_0603_1608Metric",266.954000,-106.680000,0.000000,top
"R33","10K","R_0603_1608Metric",266.954000,-137.160000,0.000000,top
"R34","10K","R_0603_1608Metric",277.114000,-86.360000,0.000000,top
"R35","10K","R_0603_1608Metric",277.114000,-106.680000,0.000000,top
"R36","10K","R_0603_1608Metric",277.114000,-91.440000,0.000000,top
"R37","10K","R_0603_1608Metric",266.954000,-101.600000,0.000000,top
"R38","10K","R_0603_1608Metric",266.954000,-91.440000,0.000000,top
"R39","10K","R_0603_1608Metric",277.114000,-101.600000,0.000000,top
"R40","10K","R_0603_1608Metric",266.954000,-93.980000,0.000000,top
"R41","10K","R_0603_1608Metric",277.114000,-99.060000,0.000000,top
"R42","10K","R_0603_1608Metric",277.114000,-93.980000,0.000000,top
"R43","10K","R_0603_1608Metric",266.954000,-99.060000,0.000000,top
"U3","74HC165","TSSOP-16_4.4x5mm_P0.65mm",228.922500,-180.605000,0.000000,top
"U4","74HC595","TSSOP-16_4.4x5mm_P0.65mm",228.922500,-162.825000,0.000000,top
"U5","74AHCT04","TSSOP-14_4.4x5mm_P0.65mm",228.922500,-153.935000,0.000000,top
"U6","74HC165","TSSOP-16_4.4x5mm_P0.65mm",228.922500,-171.715000,0.000000,top
"U7","74HC595","TSSOP-16_4.4x5mm_P0.65mm",229.245000,-119.290000,0.000000,top
"U8","74HC595","TSSOP-16_4.4x5mm_P0.65mm",229.245000,-127.885000,0.000000,top
"U9","74HC595","TSSOP-16_4.4x5mm_P0.65mm",228.922500,-136.155000,0.000000,top
"U10","74HC595","TSSOP-16_4.4x5mm_P0.65mm",228.922500,-145.045000,0.000000,top
"U11","74AHCT245","TSSOP-20_4.4x6.5mm_P0.65mm",257.728000,-188.382000,0.000000,top
