Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","100uF","C_1206_3216Metric",291.465000,-209.550000,180.000000,top
"C2","0.1uF","C_0603_1608Metric",237.240000,-36.999000,-90.000000,top
"C3","0.1uF","C_0603_1608Metric",257.810000,-89.307500,-90.000000,top
"C4","0.1uF","C_0603_1608Metric",266.602500,-212.420000,180.000000,top
"C5","0.1uF","C_0603_1608Metric",141.504000,-188.077000,-90.000000,top
"C6","0.1uF","C_0603_1608Metric",237.660000,-169.494100,-90.000000,top
"C7","0.1uF","C_0603_1608Metric",152.280000,-169.757500,-90.000000,top
"C8","0.1uF","C_0603_1608Metric",213.610000,-168.917500,-90.000000,top
"C9","0.1uF","C_0603_1608Metric",169.575000,-169.952500,-90.000000,top
"C10","0.1uF","C_0603_1608Metric",241.300000,-107.542500,90.000000,top
"C11","0.1uF","C_0603_1608Metric",283.868000,-189.327500,-90.000000,top
"C12","0.1uF","C_0603_1608Metric",136.000000,-139.032500,90.000000,top
"C13","0.1uF","C_0603_1608Metric",99.927500,-181.610000,180.000000,top
"C14","0.1uF","C_0603_1608Metric",99.927500,-193.040000,180.000000,top
"C15","0.1uF","C_0603_1608Metric",99.927500,-170.180000,180.000000,top
"C16","0.1uF","C_0603_1608Metric",99.927500,-158.750000,180.000000,top
"C17","0.1uF","C_0603_1608Metric",110.060000,-74.295000,0.000000,top
"C18","0.1uF","C_0603_1608Metric",110.060000,-112.395000,0.000000,top
"C19","0.1uF","C_0603_1608Metric",110.060000,-93.345000,0.000000,top
"C20","0.1uF","C_0603_1608Metric",110.060000,-131.445000,0.000000,top
"C21","0.1uF","C_0603_1608Metric",189.245000,-169.317500,-90.000000,top
"C22","0.1uF","C_0603_1608Metric",227.615000,-147.287500,-90.000000,top
"C23","0.1uF","C_0603_1608Metric",99.927500,-204.470000,180.000000,top
"C26","0.1uF","C_0603_1608Metric",187.960000,-95.012500,90.000000,top
"C27","0.1uF","C_0603_1608Metric",242.105000,-152.905000,90.000000,top
"C28","0.1uF","C_0603_1608Metric",265.565000,-152.497500,90.000000,top
"C29","0.1uF","C_0603_1608Metric",250.232500,-202.182500,180.000000,top
"C30","0.1uF","C_0603_1608Metric",292.745000,-194.340000,0.000000,top
"C31","0.1uF","C_0603_1608Metric",250.232500,-225.810000,180.000000,top
"C32","0.1uF","C_0603_1608Metric",292.100000,-178.540000,0.000000,top
"C33","0.1uF","C_0603_1608Metric",226.060000,-118.207500,90.000000,top
"C34","0.1uF","C_0603_1608Metric",118.745000,-95.347500,90.000000,top
"C35","0.1uF","C_0603_1608Metric",141.513000,-95.347500,90.000000,top
"C36","0.1uF","C_0603_1608Metric",163.865000,-95.347500,90.000000,top
"C37","0.1uF","C_0603_1608Metric",220.310000,-102.772500,-90.000000,top
"C38","0.1uF","C_0603_1608Metric",229.612000,-95.347500,90.000000,top
"C39","0.1uF","C_0603_1608Metric",118.872000,-118.207500,90.000000,top
"C40","0.1uF","C_0603_1608Metric",141.513000,-118.207500,90.000000,top
"C41","0.1uF","C_0603_1608Metric",210.220000,-118.207500,90.000000,top
"C42","0.1uF","C_0603_1608Metric",164.500000,-118.207500,90.000000,top
"C43","0.1uF","C_0603_1608Metric",187.325000,-118.207500,90.000000,top
"C45","0.1uF","C_0603_1608Metric",161.925000,-139.260000,90.000000,top
"C46","0.1uF","C_0603_1608Metric",187.360000,-139.357500,90.000000,top
"C47","0.1uF","C_0603_1608Metric",241.300000,-131.672500,90.000000,top
"C48","0.1uF","C_0603_1608Metric",177.255000,-210.917500,90.000000,top
"C49","0.1uF","C_0603_1608Metric",198.845000,-210.917500,90.000000,top
"C50","0.1uF","C_0603_1608Metric",220.358700,-210.917500,90.000000,top
"C51","0.1uF","C_0603_1608Metric",177.301000,-187.312000,90.000000,top
"C52","0.1uF","C_0603_1608Metric",198.891000,-187.312000,90.000000,top
"C53","0.1uF","C_0603_1608Metric",220.358700,-187.312000,90.000000,top
"C54","0.1uF","C_0603_1608Metric",183.470000,-72.067500,90.000000,top
"C56","0.1uF","C_0603_1608Metric",118.790000,-73.337500,90.000000,top
"C57","0.1uF","C_0603_1608Metric",141.640000,-73.112500,90.000000,top
